1/2007	one two thousand seventh
12/30	twelve thirtieths
20/22	twenty twenty seconds
4/2010	four two thousand tenths
685077 / 261482	six hundred eighty five thousand seventy seven two hundred sixty one thousand four hundred eighty seconds
510/2006	five hundred ten two thousand sixths
69/70	sixty nine seventieths
9/9	nine ninths
4/28	four twenty eighths
28/95	twenty eight ninety fifths
-1/2	minus one half
228/229	two hundred twenty eight two hundred twenty ninths
5/4	five quarters
6/4	six quarters
7/4	seven quarters
76/769	seventy six seven hundred sixty ninths
1/6	one sixth
49/100	forty nine one hundredths
6/7	six sevenths
98/7	ninety eight sevenths
24/7	twenty four sevenths
1750/51	one thousand seven hundred fifty fifty firsts
2/4	two quarters
31/2008	thirty one two thousand eighths
12/15	twelve fifteenths
24/7	twenty four sevenths
1948/51	one thousand nine hundred forty eight fifty firsts
52/13	fifty two thirteenths
1/366	one three hundred sixty sixth
9/11	nine elevenths
11/12	eleven twelfths
99/2000	ninety nine two thousandths
1/4	one quarter
3½	three and a half
924/5	nine hundred twenty four fifths
166/10742	one hundred sixty six ten thousand seven hundred forty seconds
2/3	two thirds
5/2	five halves
3/10	three tenths
9/16	nine sixteenths
2/3	two thirds
59/867	fifty nine eight hundred sixty sevenths
4016/269	four thousand sixteen two hundred sixty ninths
17/10	seventeen tenths
2/3	two thirds
23/26	twenty three twenty sixths
1/3	one third
2 1/2	two and a half
20/20	twenty twentieths
5/100,000	five one hundred thousandths
6/18	six eighteenths
712/99	seven hundred twelve ninety ninths
3/1	three over one
2005/90	two thousand five ninetieths
4/17	four seventeenths
3/4	three quarters
4/4	four quarters
500/132	five hundred one hundred thirty seconds
500/200	five hundred two hundredths
47/1	forty seven over one
1857/58	one thousand eight hundred fifty seven fifty eighths
15/16	fifteen sixteenths
1986/99	one thousand nine hundred eighty six ninety ninths
1999/3425	one thousand nine hundred ninety nine three thousand four hundred twenty fifths
9/10	nine tenths
3/187	three one hundred eighty sevenths
77/4	seventy seven quarters
5/5	five fifths
1/27	one twenty seventh
3/4	three quarters
3/26	three twenty sixths
-1/3	minus one third
1/5	one fifth
301/302	three hundred one three hundred seconds
1/5	one fifth
57/58	fifty seven fifty eighths
-1/2	minus one half
5/52	five fifty seconds
2/37	two thirty sevenths
33/40	thirty three fortieths
3½	three and a half
5/5	five fifths
4/2	four halves
10 1/2	ten and a half
3/2	three halves
3/6	three sixths
-6361/200912402	minus six thousand three hundred sixty one two hundred million nine hundred twelve thousand four hundred seconds
4½	four and a half
2½	two and a half
8/13	eight thirteenths
¼	one quarter
22981/22982	twenty two thousand nine hundred eighty one twenty two thousand nine hundred eighty seconds
3/34	three thirty fourths
1/6	one sixth
1870 / 1871	one thousand eight hundred seventy one thousand eight hundred seventy firsts
9/4	nine quarters
5/494	five four hundred ninety fourths
6/1	six over one
1/72	one seventy second
16/17	sixteen seventeenths
1825/34	one thousand eight hundred twenty five thirty fourths
1/32	one thirty second
1/8	one eighth
8/13	eight thirteenths
3/1	three over one
12/12	twelve twelfths
2/1985	two one thousand nine hundred eighty fifths
9/11	nine elevenths
8/2013	eight two thousand thirteenths
1015/14	one thousand fifteen fourteenths
43/3	forty three thirds
1/5	one fifth
43/3	forty three thirds
388⅓	three hundred eighty eight and a third
81/24	eighty one twenty fourths
15/8	fifteen eighths
81/24	eighty one twenty fourths
259/2014	two hundred fifty nine two thousand fourteenths
33/34	thirty three thirty fourths
52/53	fifty two fifty thirds
20/20	twenty twentieths
1/2	one half
9/2	nine halves
98/79	ninety eight seventy ninths
243/2014	two hundred forty three two thousand fourteenths
9/11	nine elevenths
10/28	ten twenty eighths
2/3	two thirds
2/1	two over one
71/72	seventy one seventy seconds
72/73	seventy two seventy thirds
215 / 21	two hundred fifteen twenty firsts
2003/4	two thousand three quarters
2/122	two one hundred twenty seconds
20/20	twenty twentieths
5/20	five twentieths
974/1995	nine hundred seventy four one thousand nine hundred ninety fifths
40/40	forty fortieths
3 4/17	three and four seventeenths
1/4	one quarter
9/11	nine elevenths
17/1	seventeen over one
17/8	seventeen eighths
43/866	forty three eight hundred sixty sixths
224 /230	two hundred twenty four two hundred thirtieths
20/20	twenty twentieths
5/5	five fifths
3½	three and a half
3/4	three quarters
1981/438	one thousand nine hundred eighty one four hundred thirty eighths
1/60	one sixtieth
34/46	thirty four forty sixths
4/4	four quarters
26/27	twenty six twenty sevenths
35/1	thirty five over one
142/1990	one hundred forty two one thousand nine hundred ninetieths
56/2014	fifty six two thousand fourteenths
7/7	seven sevenths
10/40	ten fortieths
7/32	seven thirty seconds
8/32	eight thirty seconds
24/7	twenty four sevenths
9/5	nine fifths
9/7	nine sevenths
950/1000	nine hundred fifty one thousandths
1/3	one third
4½	four and a half
1963½	one thousand nine hundred sixty three and a half
9/10	nine tenths
1/18	one eighteenth
51/100	fifty one one hundredths
784/5	seven hundred eighty four fifths
89/92	eighty nine ninety seconds
41/2005	forty one two thousand fifths
5½	five and a half
53⅓	fifty three and a third
1997/715	one thousand nine hundred ninety seven seven hundred fifteenths
1999/882	one thousand nine hundred ninety nine eight hundred eighty seconds
259/2014	two hundred fifty nine two thousand fourteenths
1964 1/2	one thousand nine hundred sixty four and a half
529/11	five hundred twenty nine elevenths
77/100	seventy seven one hundredths
4/19	four nineteenths
6937/2	six thousand nine hundred thirty seven halves
3/7	three sevenths
3/2010	three two thousand tenths
23960/13	twenty three thousand nine hundred sixty thirteenths
1/4	one quarter
3/22	three twenty seconds
1/2	one half
1/2	one half
½	one half
80/35	eighty thirty fifths
7/13	seven thirteenths
57/100	fifty seven one hundredths
4/4	four quarters
259/2014	two hundred fifty nine two thousand fourteenths
1/10	one tenth
2/9	two ninths
110/110	one hundred ten one hundred tenths
61/266	sixty one two hundred sixty sixths
50/50	fifty fiftieths
7/96	seven ninety sixths
7/97	seven ninety sevenths
5/99	five ninety ninths
3/14	three fourteenths
23/24	twenty three twenty fourths
20/20	twenty twentieths
3/4	three quarters
7/8	seven eighths
-1/2	minus one half
1/2	one half
9 ¾	nine and three quarters
702 1/3	seven hundred two and a third
1/184	one one hundred eighty fourth
1/2	one half
8/1985	eight one thousand nine hundred eighty fifths
4/16	four sixteenths
2004/5	two thousand four fifths
2007/8	two thousand seven eighths
3/35	three thirty fifths
14/15	fourteen fifteenths
1/2	one half
1368/72	one thousand three hundred sixty eight seventy seconds
243/2014	two hundred forty three two thousand fourteenths
5/6	five sixths
7/24	seven twenty fourths
11/18	eleven eighteenths
2 1/2	two and a half
1½	one and a half
1/2	one half
17/96	seventeen ninety sixths
1/9	one ninth
10/2	ten halves
1892/93	one thousand eight hundred ninety two ninety thirds
-½	minus one half
2/14	two fourteenths
4/5	four fifths
2/22	two twenty seconds
5/2	five halves
6/2	six halves
571/572	five hundred seventy one five hundred seventy seconds
24/7	twenty four sevenths
47255 / 47596	forty seven thousand two hundred fifty five forty seven thousand five hundred ninety sixths
6/13	six thirteenths
7096/12	seven thousand ninety six twelfths
-7/8	minus seven eighths
-1/4	minus one quarter
95/3	ninety five thirds
26/2	twenty six halves
3/22	three twenty seconds
3 1/2	three and a half
8 1/16	eight and a sixteenth
158/236	one hundred fifty eight two hundred thirty sixths
28/7	twenty eight sevenths
1/6	one sixth
199/2004	one hundred ninety nine two thousand fourths
1/16	one sixteenth
74/76	seventy four seventy sixths
1/2	one half
3/4	three quarters
702/1	seven hundred two over one
751/1	seven hundred fifty one over one
4/5	four fifths
661/2010	six hundred sixty one two thousand tenths
10/24	ten twenty fourths
5/3	five thirds
1710/11	one thousand seven hundred ten elevenths
4½	four and a half
44/2006	forty four two thousand sixths
13½	thirteen and a half
10/19	ten nineteenths
262/3	two hundred sixty two thirds
24/7	twenty four sevenths
19/9	nineteen ninths
3/2014	three two thousand fourteenths
1952/77	one thousand nine hundred fifty two seventy sevenths
2/43	two forty thirds
30/2	thirty halves
1/3	one third
10/18	ten eighteenths
11/2002	eleven two thousand seconds
7/4	seven quarters
1946/47	one thousand nine hundred forty six forty sevenths
1966/67	one thousand nine hundred sixty six sixty sevenths
50/50	fifty fiftieths
½	one half
5/8	five eighths
42/100	forty two one hundredths
380/80	three hundred eighty eightieths
2/53	two fifty thirds
1838/9	one thousand eight hundred thirty eight ninths
101/106	one hundred one one hundred sixths
43/827	forty three eight hundred twenty sevenths
7/11	seven elevenths
7/14	seven fourteenths
63/100	sixty three one hundredths
55/269	fifty five two hundred sixty ninths
12/1993	twelve one thousand nine hundred ninety thirds
7/25	seven twenty fifths
6¾	six and three quarters
516/517	five hundred sixteen five hundred seventeenths
-1/2	minus one half
19/2	nineteen halves
65/176	sixty five one hundred seventy sixths
14/2	fourteen halves
1897/4145	one thousand eight hundred ninety seven four thousand one hundred forty fifths
6/7	six sevenths
13/31	thirteen thirty firsts
¼	one quarter
½	one half
30/24	thirty twenty fourths
3/52	three fifty seconds
1/2	one half
1/19	one nineteenth
24/7	twenty four sevenths
2 1/2	two and a half
29/260,996	twenty nine two hundred sixty thousand nine hundred ninety sixths
1724/25	one thousand seven hundred twenty four twenty fifths
1 1/2	one and a half
55/16	fifty five sixteenths
3/4	three quarters
797/798	seven hundred ninety seven seven hundred ninety eighths
4½	four and a half
2012/98	two thousand twelve ninety eighths
9/11	nine elevenths
95/94	ninety five ninety fourths
90/89	ninety eighty ninths
67/100	sixty seven one hundredths
3/56	three fifty sixths
3/4	three quarters
3/2	three halves
1 3/4	one and three quarters
3/4	three quarters
5/10	five tenths
10/10	ten tenths
6½	six and a half
3½	three and a half
12/13	twelve thirteenths
34/35	thirty four thirty fifths
50/50	fifty fiftieths
322010/1997	three hundred twenty two thousand ten one thousand nine hundred ninety sevenths
1/8	one eighth
10/18	ten eighteenths
2 1/2	two and a half
1509/10	one thousand five hundred nine tenths
894/5	eight hundred ninety four fifths
2/3	two thirds
5/40	five fortieths
2/170	two one hundred seventieths
97/30	ninety seven thirtieths
7/10	seven tenths
1710/11	one thousand seven hundred ten elevenths
1358/59	one thousand three hundred fifty eight fifty ninths
80/100	eighty one hundredths
4/22	four twenty seconds
16/34	sixteen thirty fourths
3/8	three eighths
1/32	one thirty second
1/2	one half
11/29	eleven twenty ninths
6/16	six sixteenths
2/3	two thirds
1/24	one twenty fourth
9/10	nine tenths
4/4	four quarters
1/2	one half
1143/31	one thousand one hundred forty three thirty firsts
9/8	nine eighths
5/2009	five two thousand ninths
2/700	two seven hundredths
1614/5	one thousand six hundred fourteen fifths
90/100	ninety one hundredths
50107/50108	fifty thousand one hundred seven fifty thousand one hundred eighths
24/2000	twenty four two thousandths
12/8	twelve eighths
8/1	eight over one
3½	three and a half
11½	eleven and a half
10/11	ten elevenths
10/11	ten elevenths
96/1980	ninety six one thousand nine hundred eightieths
5/10	five tenths
1806/15	one thousand eight hundred six fifteenths
10/11	ten elevenths
11/17	eleven seventeenths
6/8	six eighths
2/3	two thirds
6/20	six twentieths
10100/20100	ten thousand one hundred twenty thousand one hundredths
4½	four and a half
1513/15	one thousand five hundred thirteen fifteenths
24/7	twenty four sevenths
7/2	seven halves
7/2	seven halves
1/2	one half
1/16	one sixteenth
2005/66	two thousand five sixty sixths
2/171	two one hundred seventy firsts
10/30	ten thirtieths
7/7	seven sevenths
0/28	zero twenty eighths
8/10	eight tenths
406/8	four hundred six eighths
3/8	three eighths
14055/14056	fourteen thousand fifty five fourteen thousand fifty sixths
1655/6	one thousand six hundred fifty five sixths
5/22	five twenty seconds
39/100	thirty nine one hundredths
6325/5765	six thousand three hundred twenty five five thousand seven hundred sixty fifths
1/2	one half
15/16	fifteen sixteenths
2010/2	two thousand ten halves
1002/14356007	one thousand two fourteen million three hundred fifty six thousand sevenths
4/4	four quarters
2/20	two twentieths
1998/9	one thousand nine hundred ninety eight ninths
1/2	one half
3/7	three sevenths
1/3	one third
4/81	four eighty firsts
3/53	three fifty thirds
15/16	fifteen sixteenths
7/27	seven twenty sevenths
2006/57	two thousand six fifty sevenths
96/98	ninety six ninety eighths
2010/18	two thousand ten eighteenths
195/2011	one hundred ninety five two thousand elevenths
11/784	eleven seven hundred eighty fourths
10/2007	ten two thousand sevenths
29/1	twenty nine over one
16/32	sixteen thirty seconds
2/87	two eighty sevenths
12½	twelve and a half
977/75	nine hundred seventy seven seventy fifths
5/5	five fifths
3/5	three fifths
9/4	nine quarters
9/8	nine eighths
-3/2	minus three halves
8/16	eight sixteenths
78/20	seventy eight twentieths
6/26	six twenty sixths
3/8	three eighths
1/32	one thirty second
7/15	seven fifteenths
3/23	three twenty thirds
1/16	one sixteenth
4/5	four fifths
3/4	three quarters
5/8	five eighths
7/8	seven eighths
1/3	one third
2/3	two thirds
200/202	two hundred two hundred seconds
204/206	two hundred four two hundred sixths
4½	four and a half
2012/78	two thousand twelve seventy eighths
9/49	nine forty ninths
40/647	forty six hundred forty sevenths
1946/47	one thousand nine hundred forty six forty sevenths
1992/93	one thousand nine hundred ninety two ninety thirds
31/20	thirty one twentieths
10/35	ten thirty fifths
⅔	two thirds
1/2	one half
2/117	two one hundred seventeenths
0/32	zero thirty seconds
24/7	twenty four sevenths
4/44	four forty fourths
7/4	seven quarters
5/6	five sixths
214/215	two hundred fourteen two hundred fifteenths
307/6	three hundred seven sixths
22298/76	twenty two thousand two hundred ninety eight seventy sixths
259/2014	two hundred fifty nine two thousand fourteenths
1436/40	one thousand four hundred thirty six fortieths
243/2014	two hundred forty three two thousand fourteenths
92/1	ninety two over one
7/14	seven fourteenths
